,water_temp,ph,dissolved_oxygen,conductivity,turbidity,codmn,nh3_n,tp,tn,pressure,air_temp,humidity,precipitation,wind_speed,wind_dir_sin,wind_dir_cos,precipitation_3d,precipitation_7d,pressure_drop,resuspension_index,runoff_proxy,nutrient_risk_index,self_purification_index,mixing_proxy,settling_index,hydrodynamic_intensity,conductivity_anomaly,water_air_temp_gap,dayofyear_sin,dayofyear_cos,songpu_flow_m3s,songpu_water_level_m,huangdu_flow_m3s,huangdu_water_level_m,songpu_flow_m3s_abs,songpu_flow_m3s_reverse_flag,songpu_flow_m3s_3d_mean,songpu_flow_m3s_7d_mean,huangdu_flow_m3s_abs,huangdu_flow_m3s_reverse_flag,huangdu_flow_m3s_3d_mean,huangdu_flow_m3s_7d_mean,songpu_water_level_m_1d_diff,songpu_water_level_m_3d_mean,huangdu_water_level_m_1d_diff,huangdu_water_level_m_3d_mean,songpu_flow_level_coupling,huangdu_flow_level_coupling,songpu_flow_m3s_1d_diff,huangdu_flow_m3s_1d_diff,songpu_flow_rise_flag,huangdu_flow_rise_flag,songpu_tidal_pumping_proxy,songpu_resuspension_potential,songpu_flushing_potential,runoff_sediment_pulse
air_temp,0.011387335,0.011387335,0.011387335,0.08768248,0.055797942,0.011387335,0.023100022,0.023100022,0.023100022,0.08768248,0.00016267621,0.5020188,0.5020188,0.003090848,0.003090848,0.003090848,0.5020188,0.5020188,0.5020188,0.055797942,0.5020188,0.023100022,0.011387335,0.08768248,0.055797942,0.08768248,0.08768248,0.011387335,0.5020188,0.5020188,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.06458246
humidity,0.011387335,0.011387335,0.011387335,0.08768248,0.055797942,0.011387335,0.023100022,0.023100022,0.023100022,0.08768248,0.5020188,0.00016267621,0.5020188,0.003090848,0.003090848,0.003090848,0.5020188,0.5020188,0.5020188,0.055797942,0.5020188,0.023100022,0.011387335,0.08768248,0.055797942,0.08768248,0.08768248,0.011387335,0.5020188,0.5020188,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.06458246
precipitation,0.011387335,0.011387335,0.011422567,0.08768248,0.055797942,0.011387335,0.023148736,0.023113945,0.023100022,0.08768248,0.5020188,0.5020188,0.00016267621,0.003090848,0.003090848,0.003090848,0.50211895,0.50207096,0.5020188,0.05588623,0.50224406,0.023100022,0.011387335,0.08768248,0.055797942,0.08779014,0.08768248,0.011387335,0.5020188,0.5020188,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08776916,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08770062,0.08768248,0.08768248,0.08768248,0.08770369,0.08770347,0.08768248,0.064634085
wind_speed,0.00032535242,0.00032535242,0.0003536986,0.0027654956,0.014330156,0.00032535242,0.00067416445,0.00065070484,0.00065070484,0.0027973317,0.003090848,0.003090848,0.003090848,0.00016267621,0.06962542,0.06962542,0.003090848,0.003090848,0.003090848,0.069801174,0.003090848,0.00065070484,0.00032535242,0.06962542,0.014315506,0.06962542,0.0027654956,0.00032535242,0.003090848,0.003090848,0.014315506,0.0027654956,0.0027654956,0.0027654956,0.014346674,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.014348036,0.0027654956,0.0027654956,0.0027654956,0.014315506,0.0027654956,0.0143485,0.0027654956,0.0027654956,0.0027654956,0.014322407,0.014342219,0.0027654956,0.014339808
wind_dir_sin,0.00032535242,0.00032535242,0.00032535242,0.0027654956,0.014315506,0.00032535242,0.00065070484,0.00065070484,0.00065070484,0.0027654956,0.003090848,0.003090848,0.003090848,0.06962542,0.00016267621,0.06962542,0.003090848,0.003090848,0.003090848,0.06962542,0.003090848,0.00065070484,0.00032535242,0.06962542,0.014315506,0.06962542,0.0027654956,0.00032535242,0.003090848,0.003090848,0.014315506,0.0027654956,0.0027654956,0.0027654956,0.014315506,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.014315506,0.0027654956,0.0027654956,0.0027654956,0.014315506,0.0027654956,0.014315506,0.0027654956,0.0027654956,0.0027654956,0.014315506,0.014315506,0.0027654956,0.014315506
wind_dir_cos,0.00032535242,0.00032535242,0.00032535242,0.0027654956,0.014315506,0.00032535242,0.00065070484,0.00065070484,0.00065070484,0.0027654956,0.003090848,0.003090848,0.003090848,0.06962542,0.06962542,0.00016267621,0.003090848,0.003090848,0.003090848,0.06962542,0.003090848,0.00065070484,0.00032535242,0.06962542,0.014315506,0.06962542,0.0027654956,0.00032535242,0.003090848,0.003090848,0.014315506,0.0027654956,0.0027654956,0.0027654956,0.014315506,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.0027654956,0.014315506,0.0027654956,0.0027654956,0.0027654956,0.014315506,0.0027654956,0.014315506,0.0027654956,0.0027654956,0.0027654956,0.014315506,0.014315506,0.0027654956,0.014315506
precipitation_3d,0.011387335,0.011387335,0.011387335,0.08768248,0.055797942,0.011387335,0.023100022,0.023100022,0.023100022,0.08768248,0.5020188,0.5020188,0.5020689,0.003090848,0.003090848,0.003090848,0.00016267621,0.5020263,0.5020188,0.055827312,0.50219595,0.023100022,0.011387335,0.08768248,0.055797942,0.08768248,0.08768248,0.011387335,0.5020188,0.5020188,0.08768248,0.08768248,0.2085509,0.08768248,0.087695725,0.08768248,0.2085509,0.08768248,0.2085509,0.08768248,0.2085509,0.2085509,0.08768248,0.08768248,0.2085509,0.08768248,0.08768248,0.2085509,0.0876994,0.2085509,0.08768248,0.2085509,0.08770435,0.08768248,0.08768248,0.20856588
precipitation_7d,0.011387335,0.011387335,0.011387335,0.087691925,0.055797942,0.011387335,0.023106946,0.023100022,0.023100022,0.08768248,0.5020188,0.5020188,0.5020449,0.003090848,0.003090848,0.003090848,0.5020339,0.00016267621,0.5020188,0.05581942,0.5021815,0.023100022,0.011387335,0.08768248,0.055797942,0.087697916,0.08768248,0.011387335,0.5020188,0.5020188,0.08768248,0.08768248,0.2085509,0.08768248,0.08768248,0.08768248,0.2085509,0.08768248,0.2085509,0.08768248,0.2085509,0.2085509,0.0876893,0.08768248,0.2085509,0.08768248,0.08768248,0.2085509,0.08768248,0.2085509,0.08768248,0.2085509,0.08770107,0.08768248,0.08768248,0.20862825
pressure_drop,0.011387335,0.011387335,0.011387335,0.6357387,0.0676733,0.011387335,0.023100022,0.023100022,0.023100022,0.6357387,0.5020188,0.5020188,0.5020188,0.003090848,0.003090848,0.003090848,0.5020188,0.5020188,0.00016267621,0.0676733,0.5020188,0.023100022,0.011387335,0.6357387,0.0676733,0.6357387,0.6357387,0.011387335,0.5020188,0.5020188,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
resuspension_index,0.0058563435,0.0058563435,0.0058659636,0.0676733,0.9999707,0.0058563435,0.011080812,0.011061982,0.011061982,0.067697495,0.055797942,0.055797942,0.055842087,0.06979463,0.06962542,0.06962542,0.055812627,0.05581933,0.0676733,0.00016267621,0.05582434,0.011061982,0.0058563435,0.06962542,0.999808,0.069638185,0.0676733,0.0058563435,0.055797942,0.055797942,0.999808,0.0676733,0.0676733,0.0676733,0.99982685,0.0676733,0.0676733,0.0676733,0.0676733,0.0676733,0.0676733,0.0676733,0.99996156,0.0676733,0.0676733,0.0676733,0.999808,0.0676733,0.99984574,0.0676733,0.0676733,0.0676733,0.99984735,0.999988,0.0676733,0.99987435
runoff_proxy,0.011387335,0.011387335,0.011387335,0.08770566,0.055960618,0.011387335,0.023106618,0.023100022,0.023100022,0.08768248,0.5020188,0.5020188,0.50221276,0.003090848,0.003090848,0.003090848,0.5021806,0.5021815,0.5020188,0.05582572,0.00016267621,0.023100022,0.011387335,0.08768248,0.055797942,0.08768248,0.08768248,0.011387335,0.5020188,0.5020188,0.08768248,0.08768248,0.2085509,0.08768248,0.08768248,0.08768248,0.2085509,0.08768248,0.2085509,0.08768248,0.20866477,0.2085509,0.087703764,0.08768248,0.2085509,0.08768248,0.08768248,0.2085509,0.08768248,0.2085509,0.08768248,0.2085509,0.087701425,0.08769707,0.08768248,0.20863773
nutrient_risk_index,0.00601902,0.00601902,0.00601902,0.015779592,0.011175855,0.00601902,0.3591891,0.3591891,0.3591891,0.015779592,0.023100022,0.023100022,0.023100022,0.00065070484,0.00065070484,0.00065070484,0.023100022,0.023100022,0.023100022,0.011061982,0.023100022,0.00016267621,0.00601902,0.015779592,0.011061982,0.015779592,0.015779592,0.00601902,0.023100022,0.023100022,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.011550011
self_purification_index,0.2196129,0.2196129,0.2196129,0.2196129,0.0058563435,0.2196129,0.00601902,0.00601902,0.00601902,0.0050429627,0.011387335,0.011387335,0.011387335,0.00032535242,0.00032535242,0.00032535242,0.011387335,0.011387335,0.011387335,0.0058563435,0.011387335,0.00601902,0.00016267621,0.0050429627,0.006181696,0.0050429627,0.2196129,0.2196129,0.011387335,0.011387335,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.006246767,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0058563435,0.006181696,0.0058563435
mixing_proxy,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.06962542,0.06962542,0.06962542,0.08768248,0.08768248,0.6357387,0.06962542,0.08768248,0.015779592,0.0050429627,0.00016267621,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
settling_index,0.0058563435,0.0058563435,0.006181696,0.0676733,0.999808,0.006181696,0.011061982,0.011061982,0.011061982,0.0676733,0.055797942,0.055797942,0.055797942,0.014315506,0.014315506,0.014315506,0.055797942,0.055797942,0.0676733,0.999808,0.055797942,0.011061982,0.006181696,0.0676733,0.00016267621,0.0676733,0.0676733,0.0058563435,0.055797942,0.055797942,0.999808,0.0676733,0.0676733,0.0676733,0.999808,0.0676733,0.0676733,0.0676733,0.0676733,0.0676733,0.0676733,0.0676733,0.999808,0.0676733,0.0676733,0.0676733,0.999808,0.0676733,0.999808,0.0676733,0.0676733,0.0676733,0.999808,0.999808,0.0676733,0.999808
hydrodynamic_intensity,0.0050429627,0.0050429627,0.0050429627,0.63574576,0.06778718,0.0050429627,0.01578653,0.015779592,0.015779592,0.63574594,0.08768248,0.08768248,0.087736316,0.06962542,0.06962542,0.06962542,0.08768248,0.087690204,0.6357387,0.069650955,0.08768248,0.015779592,0.0050429627,0.6357387,0.0676733,0.00016267621,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357639,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357603,0.63576007,0.63574594,0.067689136
conductivity_anomaly,0.2196129,0.2196129,0.2196129,0.6357387,0.0676733,0.2196129,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.0676733,0.08768248,0.015779592,0.2196129,0.6357387,0.0676733,0.6357387,0.00016267621,0.2196129,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
water_air_temp_gap,0.2196129,0.2196129,0.2196129,0.2196129,0.0058563435,0.2196129,0.00601902,0.00601902,0.00601902,0.0050429627,0.011387335,0.011387335,0.011387335,0.00032535242,0.00032535242,0.00032535242,0.011387335,0.011387335,0.011387335,0.0058563435,0.011387335,0.00601902,0.2196129,0.0050429627,0.0058563435,0.0050429627,0.2196129,0.00016267621,0.011387335,0.011387335,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0058563435,0.0050429627,0.0058563435
dayofyear_sin,0.011387335,0.011387335,0.011387335,0.08768248,0.055797942,0.011387335,0.023100022,0.023100022,0.023100022,0.08768248,0.5020188,0.5020188,0.5020188,0.003090848,0.003090848,0.003090848,0.5020188,0.5020188,0.5020188,0.055797942,0.5020188,0.023100022,0.011387335,0.08768248,0.055797942,0.08768248,0.08768248,0.011387335,0.00016267621,0.5020188,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.06458246
dayofyear_cos,0.011387335,0.011387335,0.011387335,0.08768248,0.055797942,0.011387335,0.023100022,0.023100022,0.023100022,0.08768248,0.5020188,0.5020188,0.5020188,0.003090848,0.003090848,0.003090848,0.5020188,0.5020188,0.5020188,0.055797942,0.5020188,0.023100022,0.011387335,0.08768248,0.055797942,0.08768248,0.08768248,0.011387335,0.5020188,0.00016267621,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.08768248,0.06458246
songpu_flow_m3s,0.0058563435,0.0058563435,0.0058563435,0.6357387,0.999808,0.0058563435,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.014315506,0.014315506,0.014315506,0.08768248,0.08768248,0.6357387,0.999808,0.08768248,0.015779592,0.0058563435,0.6357387,0.999808,0.6357387,0.6357387,0.0058563435,0.08768248,0.08768248,0.00016267621,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.999808,0.6357387,0.6357387,0.6357387,0.999808,0.999808,0.6357387,0.999808
songpu_water_level_m,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.0676733,0.08768248,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
huangdu_flow_m3s,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.2085509,0.2085509,0.6357387,0.0676733,0.2085509,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.2085509
huangdu_water_level_m,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.0676733,0.08768248,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
songpu_flow_m3s_abs,0.0058563435,0.0058563435,0.005891354,0.63576674,1.0,0.0058563435,0.015788823,0.015779592,0.015779592,0.6357591,0.08768248,0.08768248,0.08768248,0.01433109,0.014315506,0.014315506,0.0876891,0.08768248,0.6357387,0.9998174,0.08768248,0.015779592,0.0058563435,0.6357387,0.999808,0.6357387,0.6357387,0.0058563435,0.08768248,0.08768248,0.999808,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.9998221,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.99986887,0.6357387,0.6357387,0.6357387,0.999808,0.99983495,0.6357523,0.999808
songpu_flow_m3s_reverse_flag,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.06778718,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.0676733,0.08768248,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
