date,water_temp,ph,dissolved_oxygen,conductivity,turbidity,codmn,nh3_n,tp,tn,station_id,weather_station_name,district,pressure,air_temp,humidity,precipitation,wind_speed,wind_dir,songpu_flow_m3s,songpu_water_level_m,huangdu_flow_m3s,huangdu_water_level_m,huangdu_flow_m3s_abs,huangdu_flow_m3s_reverse_flag,huangdu_flow_m3s_3d_mean,huangdu_flow_m3s_7d_mean,songpu_flow_m3s_abs,songpu_flow_m3s_reverse_flag,songpu_flow_m3s_3d_mean,songpu_flow_m3s_7d_mean,huangdu_water_level_m_1d_diff,huangdu_water_level_m_3d_mean,songpu_water_level_m_1d_diff,songpu_water_level_m_3d_mean,songpu_flow_level_coupling,huangdu_flow_level_coupling,boundary_label,boundary_label_available,boundary_extent_ratio,label_source,label_confidence,boundary_zone_name,notes,wind_dir_sin,wind_dir_cos,precipitation_3d,precipitation_7d,pressure_drop,conductivity_anomaly,mixing_proxy,resuspension_index,runoff_proxy,nutrient_risk_index,self_purification_index,settling_index,songpu_flow_m3s_1d_diff,songpu_flow_rise_flag,huangdu_flow_m3s_1d_diff,huangdu_flow_rise_flag,songpu_tidal_pumping_proxy,songpu_resuspension_potential,songpu_flushing_potential,runoff_sediment_pulse,hydrodynamic_intensity,water_air_temp_gap,dayofyear_sin,dayofyear_cos,clearness_proxy
2022-01-11,13.031666666666666,7.711666666666666,8.436666666666666,500.0833333333333,109.23333333333333,3.356666666666667,0.25,0.10666666666666667,2.0233333333333334,58362,宝山,宝山区,1027.779167,2.333333,60.708333,0.0,2.504167,353.917034,672.0,2.26,28.7,2.62,28.7,0,29.066666666666663,15.7,672.0,0,731.6666666666666,558.5714285714286,-0.0499999999999998,2.6733333333333333,-0.02,2.276666666666667,1518.7199999999998,75.194,,0.0,,,,,,-0.10596845058535216,0.9943694924325363,0.0,12.5,0.0,44.68809523809517,3.7462914964436784,2.511167,20.599054195760072,3.34,1.6752534696621526,0.28537452695604976,-127.0,0.0,-2.3000000000000007,0.0,0.0,814.98,6.637435742364681,0.0,4.231378740362956,10.698333666666667,0.18809941761179758,0.9821499931752291,0.2961106262917461
2022-01-12,12.64,7.623333333333334,8.135,557.7166666666666,88.04,3.635,0.3466666666666667,0.10333333333333333,2.3966666666666665,58362,宝山,宝山区,1024.379167,3.508333,62.583333,0.0,1.433333,278.341443,1140.0,2.3,32.2,2.6,32.2,0,30.633333333333336,19.685714285714287,1140.0,0,870.3333333333334,698.5714285714286,-0.02,2.63,0.04,2.28,2622.0,83.72000000000001,,0.0,,,,,,-0.989421114958831,0.1450719038050569,0.0,0.0,3.3999999999998636,80.44047619047609,3.9074519874465974,1.447333,0.5181317125421658,3.7766666666666664,1.5296360977158219,0.17142858122449436,468.0,1.0,3.5000000000000036,1.0,0.0,1672.3200000000002,9.774633123689727,0.0,4.4847259844455225,9.131667,0.20496611396949532,0.9787690698649216,0.33235134898814334
2022-01-13,12.878333333333332,7.711666666666666,8.378333333333332,508.6833333333334,82.27499999999999,3.275,0.24833333333333332,0.09499999999999999,2.1599999999999997,58362,宝山,宝山区,1028.854167,2.75,59.416667,0.0,2.466667,350.823858,727.0,2.09,30.8,2.55,30.8,0,30.566666666666663,23.52857142857143,727.0,0,846.3333333333334,759.5714285714286,-0.0500000000000002,2.5900000000000003,-0.2099999999999999,2.2166666666666663,1519.4299999999998,78.53999999999999,,0.0,,,,,,-0.15947012965753593,0.9872027541224795,0.0,0.0,0.0,19.585714285714346,3.8485718635414687,2.5401670000000003,0.5178152567285884,3.358333333333333,1.7338579174367894,0.2884615107248547,-413.0,0.0,-1.4000000000000021,0.0,0.0,1379.3999999999999,10.16311417992595,0.0,4.2475877323346705,10.128333333333332,0.22177215755648186,0.975098513039961,0.3437129516220039
2022-01-14,12.981666666666667,7.691666666666666,8.42,516.2833333333333,74.28166666666667,3.0066666666666664,0.26,0.09833333333333333,2.3333333333333335,58362,宝山,宝山区,1024.666667,5.425,63.583333,0.0,1.970833,190.584235,719.0,2.14,30.9,2.51,30.9,0,31.3,27.285714285714285,719.0,0,862.0,781.1428571428571,-0.04,2.553333333333333,0.0500000000000002,2.1766666666666663,1538.66,77.55899999999998,,0.0,,,,,,-0.18368088785466494,-0.982985926367678,0.0,0.0,4.1875,14.366666666666617,3.319725037054788,1.9883330000000001,0.5212600845342916,3.576666666666667,1.817502304591998,0.1396973289731003,-8.0,0.0,0.09999999999999787,1.0,0.0,763.3500000000003,11.450330979211406,0.0,4.7707101367742615,7.5566666666666675,0.23851257519407648,0.9711394088771653,0.36084120159106814
2022-01-15,12.906666666666666,7.7,8.335,527.2333333333333,80.21499999999999,3.1783333333333332,0.2783333333333333,0.165,2.313333333333333,58362,宝山,宝山区,1024.891667,6.125,76.916667,0.0,1.133333,118.257294,725.0,2.14,30.4,2.52,30.4,0,30.7,30.214285714285715,725.0,0,723.6666666666666,786.5714285714286,0.0100000000000002,2.526666666666667,0.0,2.123333333333333,1551.5,76.60799999999999,0.0,1.0,0.0118906064209274,DLR_GWP_P1D_real_raster_proxy,0.2857142857142857,wusongkou_aoi_boundary_proxy,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation.",0.8808304754312092,-0.47343180454172057,0.0,0.0,0.0,14.952380952380963,3.1197397474355975,1.133333,0.5184475021324852,4.241666666666666,1.5469510878916017,0.468750073242199,6.0,1.0,-0.5,0.0,0.0,731.0,8.910505038067681,0.0,3.429030575777344,6.781666666666666,0.2551824131233728,0.9668929289391521,0.34796454457697257
2022-01-16,14.568333333333333,7.73,8.881666666666666,417.5333333333333,63.73666666666667,3.0483333333333333,0.28,0.10333333333333333,2.341666666666667,58362,宝山,宝山区,1028.2875,7.3375,74.291667,0.0,2.166667,60.121397,355.0,2.1,29.4,2.5,29.4,0,30.23333333333333,30.485714285714288,355.0,0,599.6666666666666,733.8571428571429,-0.02,2.51,-0.04,2.126666666666667,745.5,73.5,,0.0,,,,,,0.8670828477803652,0.49816396405710855,0.0,0.0,0.0,-87.64285714285717,4.926586402179545,2.1806669999999997,0.51622288508644,3.6550000000000002,1.8751611689571546,0.31578944044321683,-370.0,0.0,-1.0,0.0,0.0,754.0,9.263168734874618,0.0,3.7650422252598945,7.230833333333333,0.2717767384711357,0.9623603298276545,0.3864557108454354
2022-01-17,13.876666666666667,7.72,8.603333333333333,485.8666666666666,74.94166666666666,2.8516666666666666,0.2383333333333333,0.105,1.9983333333333333,58362,宝山,宝山区,1028.9,7.679167,75.125,0.0,2.054167,61.779033,562.0,2.24,9.6,2.51,9.6,0,23.13333333333333,27.428571428571427,562.0,0,547.3333333333334,700.0,0.0099999999999997,2.51,0.1400000000000001,2.16,1258.88,24.096,,0.0,,,,,,0.8811304663276114,0.4728732402127298,0.0,0.0,0.0,-16.047619047619094,4.814148070845744,2.103167,0.47753910160853413,3.286666666666667,1.8931520474245949,0.32742151951743304,207.0,1.0,-19.799999999999997,0.0,0.0,876.6600000000001,7.20728629430484,0.0,3.90063587063215,6.197499666666667,0.2882906407095177,0.9575429528116719,0.3593596078356398
2022-01-18,14.188333333333333,7.728333333333333,8.536666666666667,474.3666666666666,82.845,2.8683333333333336,0.2633333333333333,0.10666666666666667,2.13,58362,宝山,宝山区,1025.566667,5.825,81.125,0.0,1.654167,93.815373,433.0,2.22,12.3,2.59,12.3,0,17.1,25.085714285714285,433.0,0,450.0,665.8571428571429,0.08,2.533333333333333,-0.02,2.186666666666667,961.26,31.857,,0.0,,,,,,0.9977836504615949,-0.06654161759030046,0.0,0.0,3.3333330000000387,-23.87380952380954,4.215624467848166,1.6611669999999998,0.434386790740767,3.46,1.8557627026275507,0.16701461377870455,-129.0,0.0,2.700000000000001,1.0,0.0,573.24,5.36704633550003,0.0,4.209820636188041,8.363333333333333,0.3047192331091634,0.9524422234305676,0.34255510944585377
2022-01-19,14.395000000000001,7.7316666666666665,8.486666666666666,474.95,87.15333333333335,2.8033333333333332,0.21,0.11,2.0016666666666665,58362,宝山,宝山区,1025.383333,8.533333,80.833333,0.0,2.170833,48.17793,509.0,2.23,10.1,2.61,10.1,0,10.666666666666666,21.928571428571427,509.0,0,501.3333333333333,575.7142857142857,0.02,2.57,0.0099999999999997,2.2300000000000004,1135.07,26.361,,0.0,,,,,,0.7452191999654475,0.6668195738000335,0.0,0.0,0.18333400000005895,-11.46666666666664,4.723741040376348,2.174333,0.3685103659231956,3.3116666666666665,1.8707406178643644,0.29813661633424404,76.0,1.0,-2.200000000000001,0.0,0.0,590.8499999999999,5.687060425017014,0.0,3.954068813994753,5.861667000000001,0.321057654185271,0.9470596510722283,0.33405005366030716
2022-01-20,12.896666666666667,7.753333333333333,8.626666666666667,460.06666666666666,104.23666666666666,2.7716666666666665,0.20333333333333334,0.11499999999999999,2.0883333333333334,58362,宝山,宝山区,1029.104167,5.425,65.0,0.0,2.441667,48.162026,263.0,2.25,4.6,2.65,4.6,0,9.0,18.185714285714287,263.0,0,401.6666666666667,509.4285714285714,0.04,2.6166666666666667,0.02,2.233333333333334,591.75,12.19,,0.0,,,,,,0.7450340773722436,0.6670264039407209,0.0,0.0,0.0,-19.404761904761926,5.097184486067201,2.448667,0.34538776394910686,3.4416666666666664,1.8931620011032124,0.2905568725852908,-246.0,0.0,-5.5,0.0,0.0,519.1800000000001,3.816793893129771,0.0,3.8187033845284057,7.471666666666667,0.3373010691361842,0.9413968285264122,0.30398421429001754
2022-01-21,10.15,7.785,8.666666666666666,468.3166666666666,99.89666666666666,2.8233333333333337,0.20833333333333334,0.11833333333333333,2.185,58362,宝山,宝山区,1025.466667,7.425,75.333333,0.7,2.566667,68.524453,439.0,2.36,4.8,2.66,4.8,0,6.5,14.457142857142856,439.0,0,403.6666666666667,469.4285714285714,0.0100000000000002,2.64,0.1099999999999998,2.28,1036.04,12.768,,0.0,,,,,,0.9305739006001941,0.36610410475947974,0.7,0.7,3.6375000000000455,-4.302380952380986,5.868156530768644,4.4018339,1.5295687840813397,3.576666666666667,1.8664042792794462,0.12651554553439903,176.0,1.0,0.20000000000000018,1.0,0.0,682.65,4.000792890415937,0.14000000000000012,4.981812748771854,2.7250000000000005,0.3534446712740877,0.9354554315134164,0.3111325829204551
2022-01-22,12.161666666666667,7.791666666666667,8.521666666666667,397.1666666666667,84.20666666666666,2.8833333333333333,0.24333333333333332,0.12333333333333334,2.066666666666667,58362,宝山,宝山区,1018.26087,9.982609,98.73913,12.4,1.630435,44.770485,352.0,2.33,5.4,2.68,5.4,0,4.933333333333334,10.885714285714284,352.0,0,351.3333333333333,416.1428571428572,0.02,2.6633333333333336,-0.0299999999999998,2.313333333333333,820.1600000000001,14.472,0.0,1.0,0.0154577883472057,DLR_GWP_P1D_real_raster_proxy,0.15,wusongkou_aoi_boundary_proxy,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation.",0.7042685925266303,0.7099336233624657,13.1,13.1,7.205796999999961,-56.87142857142851,3.658669371196151,22.9996335,26.30191395529449,3.5433333333333334,1.7817097088268434,0.04359914043422659,-87.0,0.0,0.6000000000000005,1.0,0.0,452.1699999999999,4.123308035364995,7.8600000000000065,7.515645110446178,2.179057666666667,0.3694836834473831,0.9292372181882051,0.33982070976699597
2022-01-23,10.945,7.763333333333333,7.94,475.40000000000003,92.17333333333333,2.7899999999999996,0.23666666666666666,0.205,1.8683333333333334,58362,宝山,宝山区,1018.6875,8.941667,98.958333,12.9,3.458333,31.977296,236.0,2.36,5.1,2.69,5.1,0,5.1000000000000005,7.4142857142857155,236.0,0,342.3333333333333,399.1428571428572,0.0099999999999997,2.6766666666666663,0.0299999999999998,2.35,556.9599999999999,13.719,,0.0,,,,,,0.529583175477784,0.8482580151409514,26.0,26.0,0.0,13.09523809523813,6.1100169931698805,93.385491,52.00040989567689,4.154999999999999,1.4632201767813477,0.0328317377054089,-116.0,0.0,-0.3000000000000007,0.0,0.0,362.55999999999995,3.674155695477962,0.0,9.593657926567388,2.0033329999999996,0.38541335945432564,0.9227440286201427,0.32464948158204887
2022-01-24,10.816666666666668,7.728333333333333,8.29,462.5833333333333,75.00500000000001,2.6333333333333333,0.26166666666666666,0.12,1.9749999999999999,58362,宝山,宝山区,1022.9,5.9,83.5,0.0,2.3625,11.479084,396.0,2.51,28.0,2.76,28.0,0,12.833333333333334,10.042857142857144,396.0,0,328.0,375.4285714285714,0.0699999999999998,2.7099999999999995,0.1499999999999999,2.4,993.96,77.28,,0.0,,,,,,0.19901019662267305,0.979997419200788,25.3,26.0,0.0,3.604761904761915,3.730252031624144,62.18625,48.104062170785284,3.4366666666666665,1.8200814041445261,0.03488879197557784,160.0,1.0,22.9,1.0,0.0,639.4,4.315505558844812,579.37,9.023889450473622,4.916666666666668,0.4012289854475009,0.9159777842484877,0.35921811239472734
2022-01-25,11.094999999999999,7.718333333333334,7.978333333333334,498.9166666666667,69.82833333333333,2.72,0.24333333333333332,0.10833333333333334,2.025,58362,宝山,宝山区,1024.158333,6.1625,83.541667,1.2,1.470833,46.596798,615.0,2.53,32.8,2.75,32.8,0,21.96666666666667,12.97142857142857,615.0,0,415.6666666666667,401.4285714285714,-0.0099999999999997,2.733333333333333,0.02,2.4666666666666663,1555.9499999999998,90.2,,0.0,,,,,,0.7265362716467033,0.6871281146785566,14.1,27.2,0.0,36.43095238095236,3.502933568564963,22.216578300000002,50.393440007402724,3.3516666666666666,1.770542383363913,0.060346996436449515,219.0,1.0,4.799999999999997,1.0,0.0,850.6800000000001,5.868649551733064,67.67999999999996,6.412884149625451,4.932499999999999,0.4169258813287287,0.908940487313808,0.371191218381719
2022-01-26,10.765,7.68,7.538333333333334,527.6833333333333,55.17166666666666,2.9033333333333338,0.33166666666666667,0.10333333333333333,2.145,58362,宝山,宝山区,1023.870833,6.770833,96.291667,21.4,3.245833,54.19311,626.0,2.44,32.0,2.75,32.0,0,30.933333333333334,16.099999999999998,626.0,0,545.6666666666666,418.1428571428572,0.0,2.7533333333333334,-0.0899999999999998,2.4933333333333327,1527.44,88.0,,0.0,,,,,,0.8109934701013908,0.5850552037653409,22.599999999999998,48.599999999999994,0.2875000000001364,57.664285714285654,6.844324349134546,76.63315879999999,95.9172977214463,3.51,1.60367498902269,0.03685503730780126,11.0,1.0,-0.7999999999999972,0.0,0.0,694.3299999999999,9.714268759457616,0.0,9.244036868116707,3.994167000000001,0.4324994021339788,0.901634220265486,0.4105436929085904
2022-01-27,10.948333333333332,7.678333333333334,7.108333333333333,532.3166666666667,51.93666666666667,2.91,0.39166666666666666,0.10666666666666667,2.231666666666667,58362,宝山,宝山区,1026.816667,5.9125,87.291667,2.9,3.183333,27.380089,733.0,2.44,36.6,2.72,36.6,0,33.800000000000004,20.67142857142857,733.0,0,658.0,485.2857142857143,-0.0299999999999998,2.74,0.0,2.47,1788.52,99.552,,0.0,,,,,,0.4598912300514959,0.8879752567057947,25.499999999999996,51.5,0.0,51.97619047619054,5.637096283325696,84.3583245,96.98765111301707,3.6900000000000004,1.4879645227744236,0.033688939176742726,107.0,1.0,4.600000000000001,1.0,0.0,840.0,12.429947736288646,117.30000000000003,9.783082463121106,5.035833333333333,0.44794493940789115,0.8940611451454876,0.4206117327482368
2022-01-28,11.896666666666667,7.7749999999999995,7.618333333333333,535.9333333333333,41.208333333333336,2.91,0.3516666666666666,0.10166666666666667,2.223333333333333,58362,宝山,宝山区,1026.283333,4.083333,83.541667,7.8,2.825,15.402712,779.0,2.46,37.6,2.76,37.6,0,35.4,25.357142857142858,779.0,0,712.6666666666666,533.8571428571429,0.0399999999999995,2.7433333333333336,0.02,2.4466666666666668,1916.34,103.776,,0.0,,,,,,0.2656017510345688,0.9640828334989535,32.099999999999994,58.599999999999994,0.533333999999968,45.93333333333328,4.5742190346252025,93.5145,108.09460217819641,3.5916666666666663,1.624660691988167,0.027428570927020442,46.0,1.0,1.0,1.0,0.0,841.5,16.884501480750245,32.099999999999994,11.022294393087632,7.813333666666667,0.4632579225674917,0.88622350294858,0.4590530574629469
2022-02-07,15.303999999999998,7.438,8.828,308.32000000000005,30.32,2.968,0.44799999999999995,0.192,2.254,58362,宝山,宝山区,1025.2875,4.495833,96.958333,21.5,2.4375,53.138252,699.0,2.44,32.6,2.84,32.6,0,18.700000000000003,13.428571428571429,699.0,0,710.6666666666666,609.7142857142857,-0.02,2.853333333333333,-0.08,2.5033333333333334,1705.56,92.584,0.0,1.0,0.0130796670630202,DLR_GWP_P1D_real_raster_proxy,0.2142857142857143,wusongkou_aoi_boundary_proxy,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation.",0.8000853347987452,0.5998862034085963,32.2,67.69999999999999,0.9958330000001752,-168.98761904761903,5.370370053828452,80.95300000000002,133.78788423636155,4.622,1.5720591757035405,0.02729754346949526,-80.0,0.0,-5.0,0.0,0.0,841.32,22.690506598552574,0.0,10.863771922872722,10.808166999999997,0.6081214998935418,0.7938439653781019,0.5096953110884727
2022-02-08,13.51,7.72,8.381666666666666,439.06666666666666,35.35333333333333,2.8183333333333334,0.515,0.23500000000000001,2.2716666666666665,58362,宝山,宝山区,1028.016667,5.225,80.416667,0.0,1.904167,39.655123,832.0,2.47,41.2,2.82,41.2,0,28.566666666666677,17.74285714285714,832.0,0,766.0,651.8571428571429,-0.02,2.84,0.0300000000000002,2.4766666666666666,2055.04,116.184,,0.0,,,,,,0.6381649883555743,0.7698996347817874,29.3,54.8,0.0,-33.05047619047622,4.128094757707095,57.7067601,99.37633065609711,5.136666666666667,1.4166820502038644,0.031051882198971335,133.0,1.0,8.600000000000001,1.0,0.0,993.9500000000003,21.070970108197322,251.98000000000005,9.83103917278752,8.285,0.6216868902665479,0.7832658619336791,0.4843998773393874
