省份,城市,流域,河流,站点名称,经度,纬度,监测时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总有机碳,总磷,总氮,叶绿素α,藻密度,水质,站点
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-27 20:00:00,11.0300,8.11000,8.36000,548.16000,141.80000,3.63000,0.50000,,0.12000,7.27000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-28 20:00:00,11.5200,8.12000,8.51000,520.26000,137.27000,3.41000,0.43000,,0.12000,4.26000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-29 20:00:00,11.7900,8.15000,8.68000,494.70000,136.40000,3.21000,0.34000,,0.12000,3.63000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-30 08:00:00,14.8900,8.19000,9.34000,275.03000,105.53000,2.97000,0.24000,,0.12000,2.91000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-11 20:00:00,8.4700,8.15000,8.66000,600.25000,190.54000,3.78000,0.47000,,0.18000,5.71000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-12 20:00:00,8.4900,8.24000,8.82000,575.08000,197.04000,3.96000,0.58000,,0.16000,11.35000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-13 20:00:00,8.4300,8.28000,9.09000,568.26000,187.96000,3.91000,0.54000,,0.16000,8.70000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-14 20:00:00,8.8200,8.28000,9.27000,540.08000,186.02000,3.69000,0.47000,,0.16000,11.21000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-15 20:00:00,9.2200,8.28000,9.23000,527.01000,202.15000,3.53000,0.41000,,0.15000,9.13000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-16 20:00:00,9.9200,8.34000,9.32000,491.80000,200.52000,3.03000,0.30000,,0.14000,4.28000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-17 20:00:00,9.8600,8.33000,9.14000,510.31000,186.38000,3.08000,0.34000,,0.14000,4.59000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-18 20:00:00,18.0500,8.10000,8.72000,293.36000,104.78000,3.42000,0.22000,,0.14000,5.37000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-19 20:00:00,18.7200,7.93000,9.26000,171.01000,44.15000,2.93000,0.09000,,0.11000,3.15000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-20 20:00:00,8.2400,8.26000,9.54000,583.80000,142.18000,3.26000,0.47000,,0.13000,5.02000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-21 20:00:00,8.6900,8.23000,9.36000,606.81000,139.13000,3.33000,0.52000,,0.11000,5.00000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-22 20:00:00,8.3700,8.20000,9.34000,634.26000,127.90000,3.14000,0.56000,,0.10000,3.77000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-23 20:00:00,8.9400,8.22000,9.25000,603.18000,114.32000,3.26000,0.62000,,0.12000,4.63000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-24 20:00:00,11.6100,8.24000,9.07000,490.08000,95.02000,3.56000,0.58000,,0.13000,4.45000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-25 20:00:00,10.2900,8.22000,8.87000,589.61000,118.12000,3.49000,0.58000,,0.13000,4.73000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-26 20:00:00,10.8200,8.21000,8.51000,568.96000,128.13000,3.54000,0.63000,,0.14000,4.50000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-27 20:00:00,11.0200,8.22000,8.61000,542.18000,106.12000,3.34000,0.56000,,0.12000,4.15000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-28 20:00:00,14.6200,8.35000,9.08000,263.63000,55.30000,3.36000,0.37000,,0.13000,4.11000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-29 20:00:00,14.1200,8.40000,9.51000,246.65000,54.39000,2.90000,0.29000,,0.12000,3.41000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-30 20:00:00,12.5900,8.26000,8.65000,395.16000,92.48000,3.59000,0.43000,,0.14000,4.71000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-01-31 20:00:00,12.5700,8.20000,8.28000,474.75000,121.94000,3.45000,0.57000,,0.14000,4.32000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-01 20:00:00,13.0000,8.20000,8.04000,471.70000,131.44000,3.61000,0.72000,,0.15000,4.63000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-02 20:00:00,12.9300,8.20000,8.38000,450.46000,123.42000,2.95000,0.51000,,0.14000,3.74000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-03 20:00:00,12.1400,8.12000,7.52000,580.48000,134.69000,3.06000,0.51000,,0.13000,3.89000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-04 20:00:00,13.2700,8.22000,7.97000,496.16000,99.19000,3.02000,0.40000,,0.11000,3.62000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-05 20:00:00,12.1800,8.05000,7.08000,630.65000,92.44000,3.09000,0.57000,,0.10000,3.78000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-06 20:00:00,12.5400,8.05000,6.89000,629.13000,89.23000,3.12000,0.58000,,0.10000,3.78000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-07 20:00:00,12.7300,8.03000,6.87000,622.71000,76.38000,3.04000,0.58000,,0.10000,3.74000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-08 20:00:00,12.6300,8.04000,7.19000,597.38000,75.35000,2.90000,0.61000,,0.10000,3.67000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-09 20:00:00,12.4700,8.09000,7.38000,591.08000,82.71000,3.01000,0.62000,,0.11000,3.76000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-10 20:00:00,12.6400,8.08000,7.31000,594.50000,92.11000,3.04000,0.56000,,0.11000,3.81000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-11 20:00:00,12.7500,8.11000,7.47000,562.55000,106.72000,2.88000,0.51000,,0.12000,3.64000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-12 20:00:00,12.9200,8.09000,7.38000,551.13000,113.09000,2.79000,0.53000,,0.13000,3.67000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-13 20:00:00,13.1500,8.11000,7.48000,533.78000,129.35000,2.61000,0.48000,,0.13000,3.68000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-14 20:00:00,13.3400,8.08000,7.28000,545.38000,141.61000,2.69000,0.42000,,0.13000,3.74000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-15 20:00:00,13.2700,8.10000,7.27000,551.21000,156.49000,2.82000,0.36000,,0.13000,3.75000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-16 20:00:00,13.1700,8.10000,7.13000,553.08000,136.55000,2.76000,0.38000,,0.13000,3.57000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-17 20:00:00,14.7300,8.25000,7.94000,385.08000,88.88000,2.87000,0.24000,,0.12000,3.74000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-18 20:00:00,14.7000,8.22000,7.77000,404.88000,70.16000,2.68000,0.19000,,0.11000,3.69000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-19 20:00:00,17.2500,8.38000,8.33000,207.93000,36.65000,3.92000,0.09000,,,4.13000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-20 20:00:00,16.5700,8.32000,7.95000,301.78000,40.01000,3.70000,0.13000,,,3.52000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-21 20:00:00,17.8400,8.39000,8.46000,204.58000,19.17000,3.30000,0.12000,,0.11000,3.46000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-22 20:00:00,15.5200,8.26000,8.04000,385.68000,34.67000,2.53000,0.21000,,0.08000,3.07000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-23 20:00:00,13.3300,8.17000,8.04000,539.73000,53.04000,1.85000,0.25000,,0.09000,2.87000,,,Ⅰ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-24 20:00:00,13.4600,8.15000,7.75000,581.38000,64.87000,2.55000,0.31000,,0.09000,3.16000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-25 20:00:00,13.6300,8.20000,7.93000,571.75000,93.99000,2.72000,0.26000,,0.10000,3.12000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-26 20:00:00,13.5600,8.22000,8.03000,532.23000,119.47000,2.70000,0.29000,,0.11000,3.02000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-27 20:00:00,13.5200,8.24000,8.04000,505.08000,147.67000,2.85000,0.40000,,0.14000,3.58000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-02-28 20:00:00,13.5900,8.21000,7.75000,499.06000,182.50000,2.98000,0.43000,,0.16000,3.91000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-01 20:00:00,13.6900,8.19000,7.65000,493.35000,214.08000,3.19000,0.57000,,0.18000,5.07000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-02 20:00:00,13.3400,8.17000,7.50000,503.31000,237.93000,3.20000,0.41000,,0.18000,5.76000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-03 20:00:00,13.3600,8.15000,7.23000,540.03000,241.01000,3.45000,0.36000,,0.17000,6.26000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-04 20:00:00,13.4700,8.09000,6.64000,588.03000,250.47000,4.00000,0.38000,,0.17000,15.04000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-05 20:00:00,13.5500,8.03000,6.26000,629.75000,177.52000,3.87000,0.30000,,0.15000,9.64000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-06 20:00:00,13.6600,8.04000,6.43000,669.68000,130.58000,3.88000,0.25000,,0.13000,4.89000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-07 20:00:00,13.6300,8.03000,6.48000,664.81000,100.97000,3.40000,0.38000,,0.11000,3.95000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-08 20:00:00,13.7200,8.07000,6.76000,674.90000,105.96000,3.28000,0.36000,,0.10000,3.54000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-09 20:00:00,13.5900,8.06000,6.67000,630.70000,111.28000,3.39000,0.34000,,0.11000,4.14000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-10 20:00:00,13.6900,8.08000,6.80000,628.60000,122.35000,3.48000,0.36000,,0.12000,4.05000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-11 20:00:00,13.8200,8.12000,7.00000,621.21000,151.61000,3.36000,0.38000,,0.12000,4.23000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-12 20:00:00,13.9400,8.13000,6.95000,582.71000,168.23000,3.32000,0.42000,,0.14000,4.88000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-13 20:00:00,14.0900,8.13000,6.91000,551.91000,170.48000,3.44000,0.52000,,0.16000,5.09000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-14 20:00:00,14.4400,8.12000,6.96000,535.63000,167.89000,3.29000,0.46000,,0.15000,4.56000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-15 20:00:00,14.6500,8.09000,6.76000,546.68000,164.07000,3.20000,0.41000,,0.14000,4.46000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-16 20:00:00,14.5600,8.06000,6.74000,542.43000,168.91000,3.26000,0.42000,,0.14000,4.79000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-17 20:00:00,14.2000,7.84000,6.63000,555.93000,163.40000,2.96000,0.42000,,0.15000,4.64000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-18 20:00:00,14.1200,7.46000,6.84000,568.38000,142.49000,2.77000,0.35000,,0.14000,4.42000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-19 20:00:00,14.2800,7.46000,6.63000,572.38000,135.55000,2.54000,0.32000,,0.13000,4.40000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-20 20:00:00,14.2400,7.40000,6.40000,597.96000,119.57000,2.96000,0.39000,,0.14000,4.58000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-21 20:00:00,14.1200,7.44000,6.80000,605.35000,113.33000,2.92000,0.43000,,0.13000,4.84000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-22 20:00:00,14.5600,7.39000,6.33000,630.85000,105.91000,2.98000,0.46000,,0.12000,4.63000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-23 20:00:00,14.9200,7.46000,6.60000,641.40000,96.08000,3.25000,0.54000,,0.12000,4.61000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-24 20:00:00,15.1800,7.41000,6.32000,629.76000,84.37000,3.14000,0.50000,,0.10000,4.43000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-25 20:00:00,15.4600,7.43000,6.28000,617.00000,91.59000,3.17000,0.59000,,0.17000,4.42000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-26 20:00:00,15.6700,7.47000,6.71000,597.00000,108.32000,3.26000,0.41000,,0.12000,4.24000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-27 20:00:00,16.1000,7.43000,6.59000,589.10000,135.69000,3.05000,0.40000,,0.13000,5.11000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-28 20:00:00,16.2400,7.47000,6.47000,571.64000,157.64000,3.17000,0.33000,,0.14000,5.87000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-29 20:00:00,16.7000,7.48000,6.70000,525.26000,166.01000,2.78000,0.22000,,0.14000,5.23000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-30 20:00:00,16.8400,7.49000,6.70000,505.66000,181.67000,2.78000,0.18000,,0.14000,4.89000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-03-31 20:00:00,16.7900,7.45000,6.49000,513.30000,181.40000,2.82000,0.13000,,0.14000,4.88000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-01 20:00:00,16.8100,7.46000,6.37000,515.25000,180.67000,3.03000,0.21000,,0.14000,4.93000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-02 20:00:00,16.9400,7.44000,5.94000,537.63000,193.47000,3.24000,0.16000,,0.11000,6.65000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-03 20:00:00,17.0600,7.41000,5.65000,596.08000,166.62000,3.14000,0.13000,,0.12000,6.11000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-04 20:00:00,16.9900,7.40000,5.61000,649.60000,109.26000,2.76000,0.05000,,0.13000,5.01000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-05 16:00:00,17.2900,7.36000,5.33000,665.60000,87.30000,2.94000,0.02000,,,4.57000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-06 20:00:00,17.7400,7.40000,5.77000,634.08000,93.44000,3.18000,0.03000,,0.10000,3.77000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-07 20:00:00,18.1300,7.39000,5.64000,611.20000,104.69000,3.33000,0.08000,,0.10000,3.17000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-08 20:00:00,18.1100,7.40000,5.52000,599.36000,119.76000,3.42000,0.13000,,0.11000,2.98000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-09 20:00:00,18.0600,7.43000,5.75000,569.75000,157.44000,3.44000,0.14000,,0.13000,2.88000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-10 20:00:00,18.0900,7.44000,5.93000,558.68000,154.45000,3.49000,0.12000,,0.13000,2.76000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-11 20:00:00,18.0900,7.47000,6.05000,546.36000,183.47000,3.32000,0.07000,,0.13000,2.58000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-12 20:00:00,18.2300,7.43000,5.53000,560.03000,197.48000,3.87000,0.19000,,0.16000,2.84000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-13 20:00:00,18.2000,7.35000,5.00000,540.66000,155.00000,3.83000,0.28000,,0.16000,2.87000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-14 20:00:00,17.9000,7.32000,4.78000,543.31000,120.54000,3.46000,0.26000,,0.14000,2.85000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-15 20:00:00,17.9400,7.30000,4.30000,564.41000,130.44000,3.59000,0.19000,,0.13000,3.07000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-16 20:00:00,18.2600,7.33000,4.54000,558.10000,140.15000,3.64000,0.28000,,0.14000,3.09000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-17 20:00:00,18.4900,7.36000,4.94000,550.25000,155.50000,3.69000,0.21000,,0.15000,2.76000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-18 20:00:00,18.4600,7.36000,5.05000,573.50000,152.35000,3.84000,0.15000,,0.14000,2.81000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-19 20:00:00,18.3600,7.38000,5.31000,570.40000,127.35000,3.85000,0.14000,,0.13000,2.76000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-20 20:00:00,18.7600,7.41000,5.47000,576.53000,131.75000,3.88000,0.10000,,0.12000,2.87000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-21 20:00:00,19.0800,7.44000,5.75000,579.43000,108.50000,3.89000,0.13000,,0.11000,2.68000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-22 20:00:00,19.4600,7.45000,5.63000,611.45000,108.87000,4.07000,0.17000,,0.11000,2.78000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-23 20:00:00,19.6800,7.45000,5.77000,603.76000,109.91000,4.12000,0.16000,,0.11000,2.71000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-24 20:00:00,19.6400,7.48000,5.85000,564.60000,130.75000,4.09000,0.13000,,0.12000,2.59000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-25 20:00:00,19.8400,7.51000,5.90000,530.01000,160.62000,4.02000,0.10000,,0.12000,2.39000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-26 20:00:00,20.1100,7.50000,5.83000,517.15000,194.97000,4.20000,0.10000,,0.12000,2.29000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-27 20:00:00,19.9900,7.51000,5.91000,488.11000,226.51000,4.30000,0.12000,,0.15000,2.11000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-28 20:00:00,20.1600,7.46000,5.72000,475.05000,249.85000,,0.15000,,0.16000,2.11000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-29 20:00:00,20.5800,7.47000,5.58000,482.53000,224.22000,3.85000,0.11000,,0.14000,2.14000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-04-30 20:00:00,20.7700,7.46000,5.50000,500.30000,198.35000,3.16000,0.11000,,0.14000,2.27000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-05-01 20:00:00,20.9000,7.49000,5.63000,503.41000,196.13000,3.14000,0.05000,,0.13000,2.14000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-05-02 20:00:00,20.9400,7.51000,5.75000,518.01000,150.58000,3.05000,0.09000,,0.13000,2.10000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-05-03 20:00:00,21.1300,7.50000,5.73000,554.45000,111.94000,3.46000,0.09000,,0.11000,2.32000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-05-04 20:00:00,21.7100,7.51000,5.42000,591.18000,106.80000,3.95000,0.11000,,0.11000,2.52000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2021-05-05 20:00:00,21.7000,7.49000,5.47000,575.80000,92.56000,3.53000,0.11000,,0.10000,2.27000,,,Ⅱ,
